names,descriptions,classified_products
Downy Feather 850 Jacket,"Our revolutionary 850 jacket defies cold, wet weather - and comparison. We combined all the best outerwear technology - innovative DownTek fill, 850-fill-power and a Pertex Quantum nylon shell - for unbeatable performance. Light activity: to 25°  Moderate activity: to -25°. ","['Jackets', 'Outerwear', 'Insulated Clothing']"
Micro Egg Balance 2 Pack,"Our revolutionary 850 jacket defies cold, wet weather - and comparison. We combined all the best outerwear technology - innovative DownTek fill, 850-fill-power and a Pertex Quantum nylon shell - for unbeatable performance. Light activity: to 25°  Moderate activity: to -25°. ","['Clothing', 'Outerwear', 'Jackets']"
"Kids' Bogs Rain Boots, Tiptoe Trekkers","Our revolutionary 850 jacket defies cold, wet weather - and comparison. We combined all the best outerwear technology - innovative DownTek fill, 850-fill-power and a Pertex Quantum nylon shell - for unbeatable performance. Light activity: to 25°  Moderate activity: to -25°. ","['Footwear', ""Kids' Clothing"", 'Rain Gear']"
Mountain View Polarized Sunglasses,"Our revolutionary 850 jacket defies cold, wet weather - and comparison. We combined all the best outerwear technology - innovative DownTek fill, 850-fill-power and a Pertex Quantum nylon shell - for unbeatable performance. Light activity: to 25°  Moderate activity: to -25°. ","['Sunglasses', 'Outdoor Accessories', 'Eyewear']"
Coastal Breeze Jacket,"Our revolutionary 850 jacket defies cold, wet weather - and comparison. We combined all the best outerwear technology - innovative DownTek fill, 850-fill-power and a Pertex Quantum nylon shell - for unbeatable performance. Light activity: to 25°  Moderate activity: to -25°. ","['Jackets', 'Outerwear', 'Insulated Clothing']"
Mountain Ridge Cap,"Our best-ever trucker hat, made for a comfortable fit and designed featuring  original artwork you won't find anywhere else. ","['Hats', 'Outdoor Accessories', 'Clothing']"
Durawear Glasses,"Our best-ever trucker hat, made for a comfortable fit and designed featuring  original artwork you won't find anywhere else. ","['Accessories', 'Headwear', 'Hats']"
"Men's Stay Grounded Tee, Short-Sleeve","This cool, lightweight tee will make biting insects head in the other direction. With the help of Burlington Labs, this shirt is evenly treated with permethrin, a synthetic form of a naturally occurring bug repellent, so you can be free of insects. ","['Clothing', 'T-Shirts', ""Men's Clothing""]"
Auto-Organizer Pro,"This handy organizer stores and organizes all your fishing gear behind the front seat of your vehicle. It's generously equipped with pockets to accommodate your fishing gear and accessories. ","['Outdoor Accessories', 'Fishing Gear', 'Vehicle Organizers']"
"Wrinkle-Free Bayside Pants, Classic Cut","These women’s wrinkle-free pants are the height of easy, timeless elegance. Our no-wrinkle cotton looks chic straight out of the dryer and built-in features make the Bayside Pants easy to wear all day long. ","['Clothing', 'Pants', ""Women's Apparel""]"
"osilk","This amazing product is sure to make your life easier. If you have any questions, chat with one of our experts to find the perfect solution for you.",[]
Ladies' Merrell Moab 2 Waterproof Trekking Boots,"This amazing product is sure to make your life easier. If you have any questions, chat with one of our experts to find the perfect solution for you.","['Footwear', 'Trekking Boots', 'Outdoor Clothing']"
"Easy-Care Check Shirt, Traditional Fit Short-Sleeve","This amazing product is sure to make your life easier. If you have any questions, chat with one of our experts to find the perfect solution for you.","['Clothing', 'Shirts', 'Short-Sleeve Shirts']"
Men's Tropical Breeze Pants,"These Men’s cargo hiking pants are adventure-ready in a cool, moisture-wicking fabric that has 50+ UPF sunblock woven right in. Size & Fit - Classic Fit: Sits at the natural waist and trim, with a traditional straight leg. Fabric & Care - 100% nylon wicks moisture and resists wrinkles. Built-in SunSmart™ UPF 50+ rated – the highest rated sun protection possible. Additional Features - Button front with zip fly. Adjustable nylon belt. Two front slash pockets, two cargo pockets, two rear pockets. Zippered security pocket. Elastic inserts in waist. Imported.","['Clothing', 'Pants', 'Hiking Gear']"
Women's Fusion Hybrid Jacket,"These Men’s cargo hiking pants are adventure-ready in a cool, moisture-wicking fabric that has 50+ UPF sunblock woven right in. Size & Fit - Classic Fit: Sits at the natural waist and trim, with a traditional straight leg. Fabric & Care - 100% nylon wicks moisture and resists wrinkles. Built-in SunSmart™ UPF 50+ rated – the highest rated sun protection possible. Additional Features - Button front with zip fly. Adjustable nylon belt. Two front slash pockets, two cargo pockets, two rear pockets. Zippered security pocket. Elastic inserts in waist. Imported.","['Clothing', 'Jackets', ""Women's Apparel""]"
"Ladies' Cotton Cabled Boot Socks, Knee-High Duo","These Men’s cargo hiking pants are adventure-ready in a cool, moisture-wicking fabric that has 50+ UPF sunblock woven right in. Size & Fit - Classic Fit: Sits at the natural waist and trim, with a traditional straight leg. Fabric & Care - 100% nylon wicks moisture and resists wrinkles. Built-in SunSmart™ UPF 50+ rated – the highest rated sun protection possible. Additional Features - Button front with zip fly. Adjustable nylon belt. Two front slash pockets, two cargo pockets, two rear pockets. Zippered security pocket. Elastic inserts in waist. Imported.","['Clothing', 'Socks', 'Outdoor Accessories']"
Adventurer 40 Backpack,"A light and fast day pack that’s big enough for overnight trips, the pack body is made from 100D Robic nylon reinforced with 100D high-tenacity ripstop nylon. Unique trampoline suspension system allows cooling ventilation between the pack and your back. Lose-a-Lid removable top lid lets you pare down the load for traveling lighter, with security and storage pockets in top lid and a storm bonnet closure seals the top opening when lid is removed. It also features a front stretch mesh ""shove-it"" pocket keeps an extra layer handy on the trail. Additionally, sleeve with drinking tube port is compatible with a hydration bladder (bladder sold separately). ","['Backpacks', 'Outdoor Gear', 'Hiking Equipment']"
"Crisp Cotton Popover Shirt, Short-Sleeve Plaid","Made for summer in classic plaids and softly textured cotton, this short-sleeve popover shirt is incredibly cool and comfortable.","['Clothing', 'Shirts', 'Short-Sleeve Shirts']"
Kids' Snow Stompers,"These snow boots provide kids with the protection of snow boots with a sporty look of hikers, and have been a favorite among adults for years. Now, in a kid-friendly design, they offer all-day comfort and protection for any winter adventure.","['Footwear', ""Kids' Clothing"", 'Winter Gear']"
"Ultra-Soft Performance Multisport Socks, Two-Pack","Our women's moisture-wicking socks are designed with quick-drying, breathable fabric and thoughtful cushioning to keep your feet cool and dry during any activity.","['Clothing', 'Socks', 'Outdoor Accessories']"
Women's Ahnu Sugarpine Breeze Mesh Hiking Shoes,"For maximum ventilation, the Sugarpine II Air Mesh day hiker is the perfect companion for your next hike. This lightweight, wicking and breathable hiker will keep your feet cool and comfortable no matter the temperature.","['Footwear', 'Hiking Shoes', ""Women's Outdoor Clothing""]"
V-Neck Shaker-Stitch Pullover Sweater,"This classic V-neck sweater features an edge-to-edge shaker stitch for modern flair. Crafted from soft, midweight cotton, it's perfect for every season. ","['Clothing', 'Sweaters', 'Casual Wear']"
Mountain Summit Pro Gore-Tex Jacket,"This Gore-Tex Pro waterproof jacket offers extreme protection and total versatility for year-round use. It is guaranteed to keep you dry, and is more durable than ever, having a substantial feel yet being extremely lightweight. It has zoned areas for additional stretch, so you won't feel any restriction during high-intensity activities.","['Clothing', 'Outerwear', 'Jackets']"
Trail Trekker Trousers,"This Gore-Tex Pro waterproof jacket offers extreme protection and total versatility for year-round use. It is guaranteed to keep you dry, and is more durable than ever, having a substantial feel yet being extremely lightweight. It has zoned areas for additional stretch, so you won't feel any restriction during high-intensity activities.","['Clothing', 'Outdoor Gear', 'Trousers']"
"Men's Signature Handcrafted Jackman Moccasin, Leather","This Gore-Tex Pro waterproof jacket offers extreme protection and total versatility for year-round use. It is guaranteed to keep you dry, and is more durable than ever, having a substantial feel yet being extremely lightweight. It has zoned areas for additional stretch, so you won't feel any restriction during high-intensity activities.","['Footwear', 'Moccasins', ""Men's Shoes""]"
Weather-Ready Adirondack Chair,"Our classic All-Weather Adirondack Chair is built right here in the USA and guaranteed to last in even the toughest climates. It features overall dimensions of 35¾""H x 29""W x 35¾""D, a seat area of 20"" x 17"", and a seat height of 14""H. This chair is constructed with ecofriendly, partially recycled HDPE (high-density polyethylene) and marine-grade quality stainless-steel hardware, and weighs approximately 37 lbs. ","['Outdoor Furniture', 'Adirondack Chairs', 'Patio & Garden']"
GSI Outdoors Adventure Chef Cookset,"Our classic All-Weather Adirondack Chair is built right here in the USA and guaranteed to last in even the toughest climates. It features overall dimensions of 35¾""H x 29""W x 35¾""D, a seat area of 20"" x 17"", and a seat height of 14""H. This chair is constructed with ecofriendly, partially recycled HDPE (high-density polyethylene) and marine-grade quality stainless-steel hardware, and weighs approximately 37 lbs. ","['Outdoor Furniture', 'Chairs', 'Adirondack Chairs']"
Sleek Stretch Denim,"We are introducing our most fitted jeans in a new classic straight-leg style. They are guaranteed to keep their shape, even after frequent washings, eliminating bagging and stretching over time.","['Clothing', 'Pants', 'Denim']"
